,Unnamed: 0,vpp0ch0,vpp1ch1,vpp2ch2,vpp3ch3,UVC,UVB,Rch,Gch,Bch,QilMax,VR1,VR4,VR5,VR5B,qpermax,sigmavis,name,target,qilmax
117,7,4732454,2186011,743128,526498,4809516,8067575,323257,868929,998701,461,736,297,1223,979,0.6332253831397432,2190887,Rossignol black base ski1,1,0.4308557305021908
118,8,4727037,2199226,736729,528519,4817820,8059647,324104,866848,999167,465,739,296,1166,932,0.6464301789391644,2190119,Rossignol black base ski1,1,0.4305579755255047
119,9,4720810,2184573,729199,525679,4817820,8067853,323491,868123,998531,462,763,293,1159,927,0.632566618968844,2190145,Rossignol black base ski1,1,0.4327164256620776
120,0,4767264,2163649,645286,496450,4650219,7300675,322898,840206,976117,453,749,275,930,744,0.6519097653847664,2139221,Rossignol ski2 ,1,0.4340291531666954
121,1,4770171,2147757,653654,489822,4524503,7357801,323439,837455,978086,450,759,280,931,744,0.6512888669422834,2138980,Rossignol ski2 ,1,0.431530759546097
122,2,4778075,2140986,657866,495856,4522275,7376865,321981,836065,977397,448,752,278,913,731,0.6336676020958848,2135443,Rossignol ski2 ,1,0.430523753130981
123,3,4784783,2153239,651647,500045,4499412,7435556,323652,836634,977155,450,744,274,884,707,0.6379808825455021,2137441,Rossignol ski2 ,1,0.4296369918824099
124,4,4776942,2147417,655485,497801,4521395,7449222,322340,837440,978624,449,752,276,880,704,0.6558044619543051,2138404,Rossignol ski2 ,1,0.4346108524552297
125,5,4768937,2153149,642473,497061,4502011,7474552,323509,838001,978427,451,757,272,894,715,0.6357446964692065,2139937,Rossignol ski2 ,1,0.4333595843666412
126,6,4779602,2149135,651681,509620,4498028,7464428,322609,837556,977889,449,741,268,856,685,0.6459724850078569,2138054,Rossignol ski2 ,1,0.4342515313174641
127,7,4777124,2163273,658705,497561,4511543,7487364,322988,836419,976672,452,747,280,928,742,0.6332253831397432,2136079,Rossignol ski2 ,1,0.4308557305021908
128,8,4793404,2149752,647908,491951,4497989,7522158,322484,836703,976689,448,771,276,869,695,0.6464301789391644,2135876,Rossignol ski2 ,1,0.4305579755255047
129,9,4787227,2149777,650622,499510,4497989,7506172,322610,837126,975517,449,753,273,889,711,0.632566618968844,2135253,Rossignol ski2 ,1,0.4327164256620776
130,0,4873438,2082015,701189,510380,3753528,6887882,301346,752899,902500,427,730,299,1021,817,0.6519097653847664,1956745,Rossignol ski3,1,0.4340291531666954
131,1,4890862,2093942,713831,517143,3608268,6908195,301202,752223,904175,428,723,301,1076,860,0.6512888669422834,1957600,Rossignol ski3,1,0.431530759546097
132,2,4872800,2084952,710285,505960,3614264,6925975,301256,752179,901990,427,760,307,1063,850,0.6336676020958848,1955425,Rossignol ski3,1,0.430523753130981
133,3,4881088,2085440,703129,517790,3619894,6968768,300662,751386,901131,427,744,297,960,768,0.6379808825455021,1953179,Rossignol ski3,1,0.4296369918824099
134,4,4870619,2085518,712717,507575,3604714,6981917,301525,751671,901570,428,763,307,1051,840,0.6558044619543051,1954766,Rossignol ski3,1,0.4346108524552297
135,5,4886837,2092330,717832,523098,3608074,6971235,301166,753115,902349,428,726,300,992,794,0.6357446964692065,1956630,Rossignol ski3,1,0.4333595843666412
136,6,4879189,2089349,711657,516019,3612614,7000992,301328,752232,903790,428,737,301,1027,822,0.6459724850078569,1957350,Rossignol ski3,1,0.4342515313174641
137,7,4889657,2086639,722614,528687,3599042,6988531,301454,753753,903700,426,707,297,1054,843,0.6332253831397432,1958907,Rossignol ski3,1,0.4308557305021908
138,8,4880251,2084415,718209,523653,3603140,7018904,301005,751356,901417,427,722,299,1029,823,0.6464301789391644,1953778,Rossignol ski3,1,0.4305579755255047
139,9,4886327,2091425,711562,513164,3603140,7021317,302065,752201,901481,428,741,303,1024,819,0.632566618968844,1955747,Rossignol ski3,1,0.4327164256620776
140,0,4372150,1886932,662828,490897,3966231,6786468,309542,797238,942334,431,732,284,1053,843,0.6519097653847664,2049114,Rossignol ski4,1,0.4340291531666954
141,1,4380497,1904563,657815,495881,3825673,6797291,308050,796976,942916,434,737,281,994,795,0.6512888669422834,2047942,Rossignol ski4,1,0.431530759546097
142,2,4386280,1910592,656789,499401,3816105,6837650,309129,796968,941332,435,733,279,988,790,0.6336676020958848,2047429,Rossignol ski4,1,0.430523753130981
143,3,4402497,1889112,659041,491681,3820479,6852949,310245,798419,941171,429,722,280,1028,822,0.6379808825455021,2049835,Rossignol ski4,1,0.4296369918824099
